FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106150788,ADVENTIST HEALTH BAKERSFIELD,2018R1,04-01-2017,03/31/2018,Open,Kern,9,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,198,"3,889","3,096","1,056","4,360",0,0,867,"4,400",0,258,"17,926",0,"17,458","12,835","3,711","15,840",0,0,"3,770","14,259",0,967,"68,840",0,"40,332","14,950","5,878","48,501",0,0,"8,982","71,779",0,"8,424","1,98,846","30,49,65,318","25,41,27,770","6,82,31,824","24,28,24,992",0,0,"5,74,63,403","26,86,54,639",0,"93,87,003","1,20,56,54,949","13,99,54,606","11,43,41,399","2,24,30,204","16,14,62,135",0,0,"5,18,89,462","23,90,44,804",0,"1,80,84,046","74,72,06,656","79,13,240","37,29,02,595","29,33,61,878","8,19,96,914","29,32,77,905",0,0,0,"8,28,98,756","36,74,22,350",0,"79,25,787",0,0,0,"2,75,40,112","1,53,52,39,537",0,0,0,0,0,"7,00,00,408","7,38,59,116","81,98,823","11,07,27,117",0,0,"2,13,79,118","13,12,63,042",0,"21,94,444","41,76,22,068","45,26,694","39,53,09,331",0,"30,84,122",0,0,0,0,"56,77,387","13,43,42,013",0,0,0,0,0,0,0,0,0,0,0,0,0
106171049,ADVENTIST HEALTH CLEARLAKE,2018R1,04-01-2017,03/31/2018,Open,Lake,1,115,Non Profit Corp.,Comparable,Teaching,707-995-5820,15630 18TH AVENUE ,CLEARLAKE,95422,DAVID SANTOS,25,25,20,724,9,35,530,0,0,66,83,2,17,"1,466",0,"3,117",23,90,"1,920",0,0,230,275,4,48,"5,707",0,"64,190",714,"19,603","71,433",0,6,"19,570","8,579",34,"3,287","1,87,416","3,56,91,438","5,37,837","12,00,329","2,24,75,214",0,0,"24,03,227","39,60,056","41,889","5,37,633","6,68,47,623","6,92,30,041","15,29,171","1,03,90,219","7,20,88,213",0,"15,016","87,71,564","1,90,93,918","77,137","38,75,153","18,50,70,432","19,31,021","6,47,35,782","17,23,060","66,43,023","6,01,85,322","-7,69,557",0,0,"40,17,504","1,08,84,002",0,"86,48,672",0,0,0,"47,43,651","16,27,42,480",0,"1,06,20,018",0,0,"1,06,20,018","3,64,41,037","2,28,587","47,78,137","4,38,47,837",0,29,"22,43,271","1,31,78,202","14,39,336","-23,60,843","9,97,95,593","38,14,924","8,84,81,546",0,"3,63,240",0,0,0,0,"28,37,280","3,17,53,882",0,0,0,0,0,0,0,0,0,0,0,0,0
106040875,ADVENTIST HEALTH FEATHER RIVER,2018R1,04-01-2017,03/31/2018,Open,Butte,1,220,Church,Comparable,,530-877-9361,5974 PENTZ ROAD,PARADISE,95969,MONTY KNITTEL,100,100,57,"2,614",117,183,"1,088",0,0,25,729,0,62,"4,818",0,"10,729",446,586,"3,555",0,0,59,"2,228",0,206,"17,809",0,"1,68,187","5,740","27,923","1,16,365",0,0,"4,604","65,290",0,"5,620","3,93,729","28,52,19,327","1,16,20,065","1,37,75,831","8,36,38,693",0,0,"10,87,142","5,78,76,215",0,"40,38,920","45,72,56,193","38,46,21,567","1,62,74,120","2,70,30,864","20,41,47,207",0,0,"73,48,835","15,87,58,252",0,"1,31,99,131","81,13,79,976","45,07,496","60,06,65,209","2,49,20,901","2,97,51,819","20,29,86,000","-4,11,767",0,0,"57,62,096","16,24,32,465",0,"92,20,839",0,0,0,"1,85,41,702","1,05,83,76,760",0,0,0,0,0,"6,31,55,101","27,67,020","1,06,28,661","8,46,89,265",0,0,"12,42,270","4,80,81,487",0,"-3,04,395","21,02,59,409","1,57,87,074","21,63,67,285",0,"15,76,303",0,0,0,0,"32,68,884","5,49,37,558",0,0,0,0,0,0,0,0,0,0,0,0,0
106190323,ADVENTIST HEALTH GLENDALE,2018R1,04-01-2017,03/31/2018,Open,Los Angeles,11,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,308,"8,596","1,664","1,535","3,877",0,0,168,"3,987",0,647,"20,474",0,"48,753","6,900","9,315","14,072",0,0,592,"14,944",0,"2,291","96,867",0,"58,366","7,948","5,669","37,280",0,0,"9,690","73,931",0,"6,916","1,99,800","79,38,41,820","15,30,97,724","12,92,76,285","29,61,26,978",0,0,"45,56,044","25,58,96,526",0,"1,42,76,935","1,64,70,72,312","20,53,43,563","5,87,34,778","2,66,90,491","18,46,27,302",0,0,"92,71,469","20,36,43,996",0,"7,10,12,732","75,93,24,331","86,85,685","84,63,23,815","16,85,86,916","13,82,03,663","36,99,27,998",0,0,0,"81,78,658","28,76,15,973",0,"2,65,33,450",0,0,0,"6,11,22,318","1,91,51,78,476",0,0,0,0,0,"14,11,64,980","4,06,99,878","1,73,34,713","10,83,49,485",0,0,"44,09,976","16,36,01,422",0,"1,56,57,713","49,12,18,167","1,65,34,671","47,24,45,642",0,"23,58,880",0,0,0,0,"96,27,058","20,61,70,126",0,0,0,0,0,0,0,0,0,0,0,0,0
106164029,ADVENTIST HEALTH HANFORD,2018R1,04-01-2017,03/31/2018,Open,Kings,9,615,Church,Comparable,Teaching,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230,230,137,"3,439",676,848,"3,435",0,0,658,"1,549",7,224,"10,836",0,"18,658","3,780","3,298","11,821",0,0,"1,806","5,297",26,789,"45,475",0,"54,318","7,442","13,442","1,03,348",0,1,"20,109","59,294",47,"9,268","2,67,269","16,17,02,796","3,17,44,538","2,80,60,772","11,78,42,657",0,0,"1,66,45,357","5,29,25,307","2,48,516","69,41,596","41,61,11,539","13,27,74,258","2,61,69,263","3,63,98,052","28,12,09,020",0,"5,042","4,23,49,992","13,92,96,845","1,62,975","2,99,27,775","68,82,93,222","1,67,25,922","23,88,82,450","4,64,69,809","3,19,66,508","27,92,78,761","-31,36,935",0,"3,563","4,22,13,126","10,33,16,521",0,"76,50,567",0,0,0,"3,53,51,247","79,87,21,539",0,"1,25,65,188",0,0,"1,25,65,188","6,07,46,816","1,07,52,565","4,62,31,646","10,12,79,002",0,"1,446","1,02,29,889","8,44,98,730","27,121","44,81,195","31,82,48,410","70,14,291","28,58,64,044",0,"-92,15,180",0,0,0,0,"1,57,65,162","19,06,48,824",0,0,0,0,0,0,0,0,0,0,0,0,0
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,2018R1,04-01-2017,03/31/2018,Open,Mendocino,1,112,Non Profit Corp.,Comparable,,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,25,916,74,78,283,0,0,48,234,0,19,"1,652",0,"3,928",263,279,"1,173",0,0,265,843,0,65,"6,816",0,"19,866","1,576",929,"15,384",0,0,"1,564","13,271",0,"1,771","54,361","5,52,62,722","39,65,308","39,09,789","1,70,98,028",0,0,"20,50,536","1,63,10,815",0,"8,98,039","9,94,95,237","2,69,23,864","21,58,057","23,84,123","2,58,07,277",0,0,"19,22,446","1,86,91,400",0,"32,84,466","8,11,71,633","21,65,673","5,29,51,683","40,93,733","45,72,964","3,49,35,878",0,0,0,"16,45,559","1,58,57,135",0,"24,78,609",0,0,0,"49,57,070","12,36,58,304",0,"49,72,806",0,0,"49,72,806","2,83,40,942","18,32,010","13,37,256","1,24,53,743",0,0,"4,77,021","1,77,01,352",0,"-1,60,952","6,19,81,372","17,74,912","6,18,41,847",0,"13,16,053",0,0,0,0,"3,48,180","5,99,12,413",0,0,0,0,0,0,0,0,0,0,0,0,0
106390923,ADVENTIST HEALTH LODI MEMORIAL,2018R1,04-01-2017,03/31/2018,Open,San Joaquin,6,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,DANIEL WOLCOTT,190,190,117,"4,036",819,661,"2,185",0,0,175,"1,410",6,138,"9,430",0,"16,398","3,496","2,540","7,888",0,0,679,"4,346",32,415,"35,794",0,"81,601","12,906","15,607","1,02,183",0,0,"17,528","55,209",365,"6,987","2,92,386","39,71,97,629","7,95,06,282","5,57,87,497","17,90,22,881",0,0,"1,78,79,011","11,38,07,982","13,22,456","97,64,586","85,42,88,324","16,41,67,744","3,53,30,597","3,48,55,902","19,91,22,705",0,0,"2,14,12,098","13,12,16,492","6,44,297","1,94,41,566","60,61,91,401","1,11,10,882","51,04,03,333","9,96,08,151","7,22,92,530","30,61,87,433",0,0,0,"3,30,62,106","16,21,74,046",0,"63,11,130",0,0,0,"3,01,92,971","1,23,13,42,582",0,"19,49,308",0,"33,338","19,82,646","6,37,07,916","1,31,58,748","2,17,52,351","4,75,89,625",0,0,"71,95,509","7,67,99,992","27,563","8,88,085","23,11,19,789","21,05,568","22,21,50,201",0,"-1,15,39,751",0,0,0,0,"19,43,616","14,35,61,412",0,0,0,0,0,0,0,0,0,0,"43,14,147","44,30,769","20,71,035"
106100797,ADVENTIST HEALTH REEDLEY,2018R1,04-01-2017,03/31/2018,Open,Fresno,9,607,District,Comparable,Teaching,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49,49,17,197,36,284,"1,032",0,0,13,244,0,31,"1,837",0,822,114,667,"2,106",0,0,31,480,0,87,"4,307",0,"81,421","15,430","59,797","3,72,351",0,1,"5,944","78,483","11,194","16,850","6,41,471","58,98,003","8,42,376","56,43,172","1,95,19,676",0,0,"3,23,214","46,82,507",0,"7,19,544","3,76,28,492","3,45,25,906","58,74,800","2,63,48,194","14,55,06,604",0,169,"49,72,016","3,25,13,492","19,08,719","93,58,577","26,10,08,477","39,34,144","1,96,99,848","43,91,729","1,85,22,429","4,46,86,993","-38,79,340",0,175,"20,16,178","1,60,98,430",0,"74,82,343",0,0,0,"83,10,100","12,12,63,029",0,0,0,"10,97,597","10,97,597","1,66,42,183","15,82,324","2,07,07,707","11,66,12,389",0,-19,"12,71,788","1,93,87,461","2,42,637","20,25,067","17,84,71,537","54,64,822","15,57,87,822",0,"2,96,090",0,0,0,0,"22,00,137","2,11,06,421",0,0,0,0,0,0,0,0,0,0,0,0,0
106560525,ADVENTIST HEALTH SIMI VALLEY,2018R1,04-01-2017,03/31/2018,Open,Ventura,10,813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,85,85,"2,727",727,185,974,0,0,106,"1,974",0,199,"6,892",0,"12,367","2,849",694,"3,449",0,0,307,"6,337",0,756,"26,759",0,"23,501","3,017","1,876","14,421",0,0,"11,830","39,681",0,"2,961","97,287","18,97,68,257","4,91,49,028","1,46,36,649","4,81,88,733",0,0,"40,75,524","9,74,64,028",0,"52,86,811","40,85,69,030","5,78,31,502","2,08,86,691","1,15,28,750","5,41,71,247",0,0,"36,38,387","11,47,53,560","1,860","92,87,539","27,20,99,536","21,19,191","20,36,53,568","5,01,64,997","1,89,61,015","9,60,41,996",0,0,0,"39,66,422","13,21,73,750",0,"50,39,535",0,0,0,"1,83,72,025","53,04,92,499",0,0,0,0,0,"4,04,55,131","1,95,46,115","71,72,258","63,24,396",0,0,"21,72,653","7,58,12,499","1,860","-13,08,845","15,01,76,067","23,39,047","15,62,38,987",0,"4,61,403",0,0,0,0,"51,62,023","12,92,59,482",0,0,0,0,0,0,0,0,0,0,0,0,0
106554011,ADVENTIST HEALTH SONORA - GREENLEY,2018R1,04-01-2017,03/31/2018,Open,Tuolumne,6,513,Church,Comparable,Teaching,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152,152,120,"2,559",144,197,749,0,1,160,769,5,39,"4,623",96,"11,107",663,"23,777","2,959",0,7,"1,012","2,386",9,256,"42,176","24,876","2,00,956","8,834","18,800","68,407",0,10,"26,412","1,06,616",191,"8,988","4,39,214","19,51,20,361","1,13,05,122","2,01,21,461","5,42,45,805",0,"75,342","1,31,62,566","5,32,57,822","2,67,091","15,72,649","34,91,28,219","32,62,01,175","1,71,18,929","1,61,77,827","9,35,45,355",0,"5,037","3,18,75,748","14,65,64,346","3,10,828","87,09,054","64,05,08,299","34,87,720","41,83,16,663","2,26,20,417","1,00,96,850","11,99,25,141","-47,804",0,"44,522","2,70,71,127","11,28,42,309",0,"78,64,045",0,0,0,"1,77,79,734","74,00,00,724",0,0,0,0,0,"9,54,63,858","51,86,952","2,83,54,564","2,53,39,798",0,"35,127","1,24,09,163","8,07,21,474","20,342","21,04,516","24,96,35,794","39,19,709","23,42,78,418",0,"18,14,278",0,0,0,0,"3,29,03,562","8,74,01,085",0,0,0,0,0,0,0,0,0,0,0,0,0
